               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.036786,            0.012333,                   0,                   1,             0.92781,             0.96929,             0.54229,            0.028951,           0.0071572,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.037803,            0.012334,                   0,                   1,             0.92718,             0.97674,             0.56335,             0.02944,           0.0071116,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.035131,             0.01294,                   0,                   1,              0.9358,             0.97192,             0.47427,            0.028992,            0.006986,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.035537,            0.010662,                   0,                   1,             0.93295,              0.9734,             0.55072,            0.028314,           0.0068741,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.037409,            0.012332,                   0,                   1,             0.93272,             0.98071,             0.42091,            0.033357,           0.0068632,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.037834,            0.011896,                   0,                   1,             0.92988,               0.983,             0.58268,            0.025511,           0.0068428,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.033426,            0.010274,                   0,                   1,             0.92988,               0.983,             0.58268,            0.025511,           0.0068428,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.036375,             0.01252,                   0,                   1,             0.93055,             0.97864,             0.56627,            0.025973,            0.006802,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03764,            0.011524,                   0,                   1,             0.92981,             0.97864,             0.53975,            0.026299,           0.0068035,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.034263,            0.011319,                   0,                   1,             0.93225,             0.97192,             0.53017,            0.026278,           0.0068286,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.033841,           0.0094902,                   0,                   1,             0.93234,             0.97056,             0.54268,            0.025625,           0.0068831,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.035928,            0.010903,                   0,             0.93299,             0.87043,             0.93548,              0.5021,            0.027761,           0.0068346,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.037569,            0.012431,                   0,                   1,              0.9329,             0.97056,             0.53775,            0.027028,           0.0067533,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.036826,            0.010393,                   0,             0.93297,             0.87019,              0.9297,             0.51059,            0.029913,           0.0066742,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.03693,            0.012884,                   0,                   1,             0.93371,               0.983,              0.5963,            0.025716,           0.0065822,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.034093,              0.0105,                   0,                   1,             0.93332,               0.975,             0.54456,            0.029628,           0.0065523,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.033329,            0.010153,                   0,             0.99972,              0.9375,               0.983,             0.60017,            0.026226,           0.0064706,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.03349,            0.011066,                   0,             0.99972,              0.9375,               0.983,             0.60017,            0.026226,           0.0064706,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.03418,            0.011225,                   0,             0.99893,              0.9375,             0.98071,             0.60546,            0.027601,           0.0064443,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.035551,            0.010745,                   0,                   1,             0.93706,              0.9734,              0.5617,            0.028278,             0.00648,                   0,            0.001981,            0.001981,            0.001981
